X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class,Width,Height,Aspect_Ratio,BBox_Area,Center_X,Center_Y,BBox_Perimeter,Luminosity_Range,Avg_Luminosity,Luminosity_Density,Pixel_Density,Perimeter_Total,Perimeter_Efficiency,Area_Perimeter_Ratio,XY_Perimeter_Ratio,Compactness,Extent,Solidity,Size_Luminosity,Position_Score,Shape_Complexity,Steel_Size_A300,Steel_Size_A400
106,118,813452,813500,442,13,48,50393,76,143,1687,0,1,150,0.1257,0.2326,0.25,0.0071,0.9231,1.0,1.0,2.6454,1.0792,1.6812,0.75,-0.1093,0.8612,Pastry,12,48,0.24489795918367346,576,112.0,813476.0,120,67,113.75395033860045,87.33622183708839,0.7660311958405546,61,0.5041322314049587,7.129032258064516,0.2653061224489796,1.4922987134730668,0.7660311958405546,0.7674,50279.2460496614,91.109312,7.6677,0,442
505,515,106604,106668,284,42,69,31062,97,119,1687,0,1,150,0.5987,0.5562,0.1563,0.0059,0.2381,0.9275,1.0,2.4533,1.0,1.8062,0.8438,-0.1455,0.9048,Pastry,10,64,0.15384615384615385,640,510.0,106636.0,148,22,108.98947368421052,48.458658346333856,0.44305772230889234,111,0.7449664429530202,2.5357142857142856,0.6,0.28963230437250487,0.44305772230889234,0.4438,30953.01052631579,54.38436,66.45570000000001,0,284
46,58,179258,179312,480,15,54,61966,102,158,1687,0,1,150,0.0545,0.2593,0.2222,0.0071,0.8,1.0,1.0,2.6812,1.0792,1.7324,0.7778,0.0086,0.9093,Pastry,12,54,0.21818181818181817,648,52.0,179285.0,132,56,128.82744282744284,95.47919876733437,0.7395993836671803,69,0.518796992481203,6.857142857142857,0.2727272727272727,1.2666648246309118,0.7395993836671803,0.7407,61837.17255717256,9.32282,3.7605,0,480
581,590,230644,230704,433,22,60,38917,62,111,1687,0,1,150,0.6888,0.1981,0.15,0.0053,0.4091,1.0,1.0,2.6365,0.9542,1.7781,0.85,-0.2978,0.8299,Pastry,9,60,0.14754098360655737,540,585.5,230674.0,138,49,89.67050691244239,71.93530499075786,0.800369685767098,82,0.5899280575539568,5.216867469879518,0.36065573770491804,0.8091060930881073,0.800369685767098,0.8019000000000001,38827.329493087556,135.059627,56.4816,0,433
451,466,368143,368208,728,30,68,69258,36,133,1687,0,1,150,0.5347,0.2533,0.2308,0.0089,0.5,0.9559,1.0,2.8621,1.1761,1.8129,0.7692,-0.2568,0.9888,Pastry,15,65,0.22727272727272727,975,458.5,368175.5,160,97,95.00411522633745,70.9610655737705,0.7459016393442623,98,0.6086956521739131,7.353535353535354,0.43478260869565216,0.9524537019524704,0.7459016393442623,0.7466999999999999,69162.99588477366,168.80846675,52.4006,0,728
669,684,491552,491684,1097,59,133,119540,50,134,1687,0,1,150,0.7931,0.446,0.1136,0.0089,0.2542,0.9925,1.0,3.0402,1.1761,2.1206,0.8864,-0.1487,1.0,Pastry,15,132,0.11278195488721804,1980,676.5,491618.0,294,84,108.87067395264117,60.34326097930338,0.5537607269056032,192,0.6508474576271186,5.683937823834197,0.44029850746268656,0.37394028384516514,0.5537607269056032,0.554,119431.12932604736,332.579577,152.2752,0,1097
156,192,713788,714056,5044,167,282,570911,11,143,1687,0,1,150,0.1849,0.4772,0.1343,0.0213,0.2156,0.9503,1.0,3.7028,1.5563,2.4281,0.8657,-0.1157,1.0,Pastry,36,268,0.13382899628252787,9648,174.0,713922.0,608,132,113.16372646184341,59.16789304591149,0.5227484713441808,449,0.7372742200328407,11.20888888888889,0.5901060070671378,0.31440547900728993,0.5227484713441808,0.5227999999999999,570797.8362735382,124.222428,83.0201,0,5044
90,104,751059,751132,552,38,76,59750,79,134,1687,0,1,150,0.1067,0.4599,0.1918,0.0083,0.3684,0.9605,1.0,2.7419,1.1461,1.8633,0.8082,-0.1543,0.9918,Pastry,14,73,0.1891891891891892,1022,97.0,751095.5,174,55,108.04701627486438,58.406647116324535,0.5395894428152492,114,0.6514285714285715,4.8,0.4935064935064935,0.5337105931465925,0.5395894428152492,0.5401,59641.95298372513,72.8562635,12.1638,0,552
82,89,844704,844729,137,8,25,14907,92,126,1687,0,1,150,0.0972,0.2171,0.28,0.0041,0.875,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,Pastry,7,25,0.2692307692307692,175,85.5,844716.5,64,34,108.02173913043478,84.69886363636364,0.7784090909090909,33,0.5076923076923077,4.029411764705882,0.3076923076923077,1.5794429120800062,0.7784090909090909,0.7829,14798.978260869566,72.22326075,3.2076,0,137
1601,1613,21349,21376,209,15,27,24807,96,141,1687,0,1,200,0.0877,0.3549,0.4444,0.0071,0.8,1.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,Pastry,12,27,0.42857142857142855,324,1607.0,21362.5,78,45,118.12857142857143,76.32923076923078,0.6430769230769231,42,0.5316455696202531,4.8604651162790695,0.5357142857142857,1.4880291549014546,0.6430769230769231,0.6451,24688.87142857143,34.3295375,3.6834,0,209
17,28,42683,42717,284,18,34,32604,87,141,1687,0,1,200,0.0202,0.2406,0.3235,0.0065,0.6111,1.0,1.0,2.4533,1.0414,1.5315,0.6765,-0.1031,0.6173,Pastry,11,34,0.3142857142857143,374,22.5,42700.0,90,54,114.4,86.944,0.7573333333333333,52,0.5714285714285714,5.3584905660377355,0.5142857142857142,1.319352774298708,0.7573333333333333,0.7594,32489.600000000002,0.96075,1.0504,0,284
43,52,86284,86313,153,13,29,17753,101,134,1687,0,1,200,0.051,0.4138,0.3103,0.0053,0.6923,1.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,Pastry,9,29,0.3,261,47.5,86298.5,76,33,115.27922077922078,67.75954198473282,0.583969465648855,42,0.5454545454545454,3.558139534883721,0.43333333333333335,1.0893227784685289,0.583969465648855,0.5862,17637.72077922078,4.09917875,2.142,0,153
63,72,115485,115504,106,10,19,13829,107,150,1687,0,1,200,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,Pastry,9,19,0.45,171,67.5,115494.5,56,43,129.2429906542056,80.40116279069767,0.6162790697674418,29,0.5087719298245614,3.533333333333333,0.5,1.5819896497886845,0.6162790697674418,0.6199,13699.757009345794,7.79587875,2.1663,0,106
82,92,149044,149083,264,15,39,32175,92,141,1687,0,1,200,0.0972,0.3231,0.2564,0.0059,0.6667,1.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,Pastry,10,39,0.25,390,87.0,149063.5,98,49,121.41509433962264,82.28900255754476,0.6751918158567775,54,0.5454545454545454,4.8,0.375,1.1373060823417285,0.6751918158567775,0.6769000000000001,32053.584905660377,12.9685245,5.2488,0,264
75,84,184350,184383,201,17,35,27349,123,148,1687,0,1,200,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,Pastry,9,33,0.2647058823529412,297,79.5,184366.5,84,25,135.3910891089109,91.7751677852349,0.674496644295302,52,0.611764705882353,3.792452830188679,0.4722222222222222,0.9337672804015503,0.674496644295302,0.6768000000000001,27213.608910891093,14.65713675,4.622800000000001,0,201
1363,1372,2128884,2128907,171,9,23,16645,77,111,1373,0,1,40,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,Pastry,9,23,0.375,207,1367.5,2128895.5,64,34,96.77325581395348,80.02403846153847,0.8221153846153846,32,0.49230769230769234,5.181818181818182,0.375,2.096438414688213,0.8221153846153846,0.8261000000000001,16548.226744186046,2911.26459625,0.048,0,171
1358,1372,2356396,2356435,395,19,39,38722,75,118,1373,0,1,40,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.641,-0.2341,0.8355,Pastry,14,39,0.35,546,1365.0,2356415.5,106,43,97.78282828282828,70.78976234003656,0.7221206581352834,58,0.5420560747663551,6.694915254237288,0.475,1.4751014539886695,0.7221206581352834,0.7234,38624.217171717166,3216.5071575,0.08700000000000001,0,395
1404,1410,5202306,5202324,85,9,18,8948,97,119,1627,0,1,40,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,Pastry,6,18,0.3157894736842105,108,1407.0,5202315.0,48,22,104.04651162790698,82.09174311926606,0.7798165137614679,27,0.5510204081632653,3.0357142857142856,0.47368421052631576,1.4632075372883968,0.7798165137614679,0.787,8843.953488372093,7319.657205,7.2036,0,85
1281,1302,4332564,4332815,3214,92,253,368381,33,140,1373,0,1,40,0.1034,0.3902,0.0837,0.0153,0.2283,0.9921,1.0,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,Pastry,21,251,0.08333333333333333,5271,1291.5,4332689.5,544,107,114.58195956454121,69.875,0.6096358118361154,345,0.6330275229357798,9.289017341040463,0.36220472440944884,0.3393234684400919,0.6096358118361154,0.6098,368266.41804043547,5595.66848925,35.673,0,3214
49,62,4822354,4822392,386,15,38,36875,51,124,1373,0,1,40,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,Pastry,13,38,0.3333333333333333,494,55.5,4822373.0,102,73,95.2842377260982,74.4949494949495,0.7797979797979798,53,0.5145631067961165,7.148148148148148,0.38461538461538464,1.726198952719801,0.7797979797979798,0.7814,36779.7157622739,267.6417015,3.7842000000000002,0,386
830,837,1874382,1874415,182,9,33,20751,99,132,1373,0,1,40,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,Pastry,7,33,0.20588235294117646,231,833.5,1874398.5,80,33,113.39344262295081,89.44396551724138,0.7844827586206896,42,0.5185185185185185,4.232558139534884,0.2647058823529412,1.295795723407008,0.7844827586206896,0.7879,20637.606557377047,1562.31114975,32.793600000000005,0,182
91,104,2378173,2378236,527,19,63,48793,47,125,1387,0,1,40,0.1312,0.3565,0.2063,0.0094,0.6842,1.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,Pastry,13,63,0.203125,819,97.5,2378204.5,152,78,92.41098484848484,59.50365853658536,0.6426829268292683,82,0.5359477124183006,6.349397590361446,0.296875,0.9847549908947634,0.6426829268292683,0.6435,48700.58901515151,231.87493875,10.758400000000002,0,527
161,168,2891780,2891804,158,9,24,16680,80,119,1387,0,1,40,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,Pastry,7,24,0.28,168,164.5,2891792.0,62,39,104.90566037735849,98.69822485207101,0.9349112426035503,33,0.5238095238095238,4.647058823529412,0.36,1.8215473000630729,0.9349112426035503,0.9405,16575.09433962264,475.699784,7.662599999999999,0,158
1328,1338,2691161,2691189,214,10,28,19762,70,111,1387,0,1,50,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,Pastry,10,28,0.3448275862068966,280,1333.0,2691175.0,76,41,91.91627906976744,70.32740213523131,0.7615658362989324,38,0.4935064935064935,5.487179487179487,0.3448275862068966,1.8610403539604587,0.7615658362989324,0.7643,19670.083720930234,3587.336275,2.6866,0,214
1251,1274,3874199,3874261,994,29,62,68851,15,119,1387,0,1,50,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,-0.4588,0.9994,Pastry,23,62,0.36507936507936506,1426,1262.5,3874230.0,170,104,69.19698492462311,48.248773651016116,0.6965662228451296,91,0.5321637426900585,10.804347826086957,0.4603174603174603,1.5082072435007265,0.6965662228451296,0.6971,68781.80301507538,4891.215375,14.823899999999998,0,994
733,745,3957796,3957839,367,16,43,35856,55,127,1387,0,1,50,0.9257,0.2888,0.2791,0.0087,0.75,1.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,Pastry,12,43,0.2727272727272727,516,739.0,3957817.5,110,72,97.43478260869566,69.35396518375242,0.7098646034816247,59,0.5315315315315315,6.116666666666666,0.36363636363636365,1.3244853576880575,0.7098646034816247,0.7112,35758.565217391304,2924.8271325,54.616299999999995,0,367
12,24,304433,304472,320,15,39,32705,55,125,1353,0,1,70,0.0177,0.3162,0.3077,0.0089,0.8,1.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,Pastry,12,39,0.3,468,18.0,304452.5,102,70,101.88473520249221,69.73347547974414,0.6823027718550106,54,0.5242718446601942,5.818181818181818,0.375,1.378552827080883,0.6823027718550106,0.6838,32603.115264797507,5.480145,0.9558,0,320
162,172,505964,506035,378,34,72,43323,77,135,1353,0,1,70,0.2395,0.4676,0.1408,0.0074,0.2941,0.9861,1.0,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,Pastry,10,71,0.1388888888888889,710,167.0,505999.5,162,58,114.30870712401055,60.93248945147679,0.5316455696202531,106,0.6503067484662577,3.532710280373832,0.4657534246575342,0.4227185273852245,0.5316455696202531,0.5324,43208.69129287599,84.5019165,25.387,0,378
0,10,1701480,1701528,210,36,48,17413,73,100,1333,0,1,40,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,Pastry,10,48,0.20408163265306123,480,5.0,1701504.0,116,27,82.5260663507109,36.2016632016632,0.4365904365904366,84,0.717948717948718,2.4705882352941178,0.7346938775510204,0.3739461285270549,0.4365904365904366,0.4375,17330.47393364929,8.50752,0.0,0,210
1617,1629,183688,183711,201,22,23,20993,79,126,1633,0,1,250,0.0049,0.2717,0.5217,0.0074,0.5454,1.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,Pastry,12,23,0.5,276,1623.0,183699.5,70,47,103.92574257425743,75.7870036101083,0.7256317689530686,45,0.6338028169014085,4.369565217391305,0.9166666666666666,1.2467129780287234,0.7256317689530686,0.7283,20889.074257425742,298.1442885,0.2205,0,201
1152,1162,284144,284198,386,35,54,44712,90,132,1687,0,1,200,0.6224,0.2852,0.1852,0.0059,0.2857,1.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,Pastry,10,54,0.18181818181818182,540,1157.0,284171.0,128,42,115.53488372093024,82.64695009242145,0.7134935304990758,89,0.689922480620155,4.288888888888889,0.6363636363636364,0.6122972806289625,0.7134935304990758,0.7148,44596.46511627907,328.785847,55.3936,0,386
1259,1271,1918092,1918128,324,30,36,30269,65,124,1353,0,1,70,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,Pastry,12,36,0.32432432432432434,432,1265.0,1918110.0,96,59,93.13538461538461,69.905311778291,0.7482678983833718,66,0.6804123711340206,4.835820895522388,0.8108108108108109,0.9344741976250566,0.7482678983833718,0.75,30175.864615384613,2426.40915,7.9992,0,324
1545,1557,19815,19841,234,20,26,23207,66,124,1627,0,1,40,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,Pastry,12,26,0.4444444444444444,312,1551.0,19828.0,76,58,98.7531914893617,74.14376996805112,0.7476038338658147,46,0.5974025974025974,4.9787234042553195,0.7407407407407407,1.3890083721115005,0.7476038338658147,0.75,23108.246808510637,30.753228,3.9559999999999995,0,234
1580,1590,3884411,3884461,340,30,50,34655,88,116,1627,0,1,40,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,Pastry,10,50,0.19607843137254902,500,1585.0,3884436.0,120,28,101.62756598240469,69.17165668662675,0.6786427145708582,80,0.6611570247933884,4.197530864197531,0.5882352941176471,0.6674841444902544,0.6786427145708582,0.6799999999999999,34553.3724340176,6156.83106,3.6399999999999997,0,340
450,458,1009978,1009999,98,16,21,10784,96,132,1690,1,0,60,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,Pastry,8,21,0.36363636363636365,168,454.0,1009988.5,58,36,108.92929292929293,63.81065088757396,0.5798816568047337,37,0.6271186440677966,2.5789473684210527,0.7272727272727273,0.8989082629249626,0.5798816568047337,0.5832999999999999,10675.070707070707,458.534779,19.7025,98,0
1625,1634,1702442,1702491,267,43,49,22785,67,110,1690,1,0,60,0.0663,0.3946,0.1837,0.0053,0.2093,1.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,Pastry,9,49,0.18,441,1629.5,1702466.5,116,43,85.01865671641791,51.54977375565611,0.6040723981900452,92,0.7863247863247863,2.870967741935484,0.86,0.39636396385515643,0.6040723981900452,0.6053999999999999,22699.98134328358,2774.16916175,6.0996,267,0
1495,1502,3509718,3509731,56,12,13,5587,85,116,1686,1,0,60,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,Pastry,7,13,0.5,91,1498.5,3509724.5,40,31,98.01754385964912,60.72826086956522,0.6086956521739131,25,0.6097560975609756,2.1538461538461537,0.8571428571428571,1.1241481699746225,0.6086956521739131,0.6154,5488.982456140351,5259.32216325,5.4575,56,0
958,964,3550754,3550771,71,11,17,7502,91,124,1682,1,0,60,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,Pastry,6,17,0.3333333333333333,102,961.0,3550762.5,46,33,104.19444444444444,72.83495145631068,0.6893203883495146,28,0.5957446808510638,2.4482758620689653,0.6111111111111112,1.1365761956936322,0.6893203883495146,0.6960999999999999,7397.805555555556,3412.2827625,23.9036,71,0
1536,1548,43036,43048,90,14,12,7525,67,100,1688,1,0,60,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,Pastry,12,12,0.9230769230769231,144,1542.0,43042.0,48,33,82.6923076923077,51.89655172413793,0.6206896551724138,26,0.5306122448979592,3.3333333333333335,1.0769230769230769,1.6705662559709389,0.6206896551724138,0.625,7442.307692307692,66.370764,4.3134,90,0
780,787,1686880,1686891,55,9,11,6124,95,125,1690,1,0,60,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,Pastry,7,11,0.5833333333333334,77,783.5,1686885.5,36,30,109.35714285714286,78.51282051282051,0.7051282051282052,20,0.5405405405405406,2.619047619047619,0.75,1.723567041869712,0.7051282051282052,0.7142999999999999,6014.642857142858,1321.67478925,18.462,55,0
1140,1147,2379116,2379129,58,9,13,6567,100,132,1690,1,0,60,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,Pastry,7,13,0.5,91,1143.5,2379122.5,40,32,111.30508474576271,71.3804347826087,0.6304347826086957,22,0.5365853658536586,2.5217391304347827,0.6428571428571429,1.502782465222334,0.6304347826086957,0.6374,6455.6949152542375,2720.52657875,14.137199999999998,58,0
13,24,2512899,2512965,567,47,66,46365,51,109,1690,1,0,60,0.0154,0.219,0.1667,0.0065,0.234,1.0,1.0,2.7536,1.0414,1.8195,0.8333,-0.3611,0.944,Pastry,11,66,0.16417910447761194,726,18.5,2512932.0,154,58,81.62852112676056,63.7757909215956,0.7799174690508941,113,0.7290322580645161,4.973684210526316,0.7014925373134329,0.5579586639265193,0.7799174690508941,0.781,46283.37147887324,46.489242,1.7402,567,0
11,20,2845229,2845256,182,20,27,16337,72,109,1688,1,0,60,0.013,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,Pastry,9,27,0.32142857142857145,243,15.5,2845242.5,72,37,89.27322404371584,66.95491803278688,0.7459016393442623,47,0.6438356164383562,3.7916666666666665,0.7142857142857143,1.0348775800060495,0.7459016393442623,0.749,16247.726775956284,44.10125875,0.611,182,0
1589,1599,3826564,3826588,154,20,24,13678,69,108,1650,1,0,69,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,Pastry,10,24,0.4,240,1594.0,3826576.0,68,39,88.24516129032259,56.7551867219917,0.6390041493775933,44,0.6376811594202898,3.422222222222222,0.8,0.9990816079562791,0.6390041493775933,0.6416999999999999,13589.754838709678,6099.562144,2.7192,154,0
765,774,4157586,4157620,188,20,34,20528,95,125,1648,1,0,69,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,Pastry,9,34,0.2571428571428571,306,769.5,4157603.0,86,30,108.6137566137566,66.86644951140065,0.6123778501628665,54,0.6206896551724138,3.418181818181818,0.5714285714285714,0.8098997859100188,0.6123778501628665,0.6144000000000001,20419.38624338624,3199.2755085,50.1336,188,0
1268,1277,5437033,5437060,146,20,27,15572,88,126,1646,1,0,69,0.4484,0.3992,0.3333,0.0055,0.45,1.0,1.0,2.1644,0.9542,1.4314,0.6667,-0.1667,0.4025,Pastry,9,27,0.32142857142857145,243,1272.5,5437046.5,72,38,105.93197278911565,63.81967213114754,0.5983606557377049,47,0.6438356164383562,3.0416666666666665,0.7142857142857143,0.8301765202246331,0.5983606557377049,0.6008,15466.068027210884,6918.64167125,21.0748,146,0
333,346,5683008,5683014,51,14,7,6902,120,149,1650,1,0,69,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,1.7076,1.1139,0.7782,-0.5385,0.0573,0.1832,Pastry,13,6,1.8571428571428572,78,339.5,5683011.0,38,29,132.73076923076923,87.36708860759494,0.6455696202531646,21,0.5384615384615384,2.3181818181818183,1.75,1.449965840118366,0.6455696202531646,0.6537999999999999,6769.2692307692305,1929.3822345,8.4756,51,0
