X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class,Aspect_Ratio,Perimeter_Ratio,Luminosity_Range,Avg_Luminosity,Compactness,Class_Encoded
82,89,844704,844729.0,137,8.0,25,14907.0,92,126,1687,0,1,140,0.0972,0.2171,0.28,0.0041,0.875,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,Pastry,0.2692307692307692,0.3076923076923077,34,108.02173913043478,2.1076923076923078,4
1601,1613,21349,21376.0,209,15.0,27,24807.0,96,141,1687,0,1,140,0.0877,0.3549,0.4444,0.0071,0.8,1.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,Pastry,0.42857142857142855,0.5357142857142857,45,118.12857142857143,0.9247787610619469,4
17,28,42683,42717.0,284,18.0,34,32604.0,87,141,1687,0,1,140,0.0202,0.2406,0.3235,0.0065,0.6111,1.0,1.0,2.4533,1.0414,1.5315,0.6765,-0.1031,0.6173,Pastry,0.3142857142857143,0.5142857142857142,54,114.4,0.8738461538461538,4
43,52,86284,86313.0,153,13.0,29,17753.0,101,134,1687,0,1,140,0.051,0.4138,0.3103,0.0053,0.6923,1.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,Pastry,0.3,0.43333333333333335,33,115.27922077922078,0.9,4
63,72,115485,115504.0,106,10.0,19,13829.0,107,150,1687,0,1,140,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,Pastry,0.45,0.5,43,129.2429906542056,1.0495049504950495,4
82,92,149044,149083.0,264,15.0,39,32175.0,92,141,1687,0,1,140,0.0972,0.3231,0.2564,0.0059,0.6667,1.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,Pastry,0.25,0.375,49,121.41509433962264,1.168141592920354,4
75,84,184350,184383.0,201,17.0,35,27349.0,123,148,1687,0,1,140,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,Pastry,0.2647058823529412,0.4722222222222222,25,135.3910891089109,0.6931034482758621,4
1363,1372,2128884,2128907.0,171,9.0,23,16645.0,77,111,1373,0,1,40,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,Pastry,0.375,0.375,34,96.77325581395348,2.0853658536585367,4
1358,1372,2356396,2356435.0,395,19.0,39,38722.0,75,118,1373,0,1,40,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.641,-0.2341,0.8355,Pastry,0.35,0.475,43,97.78282828282828,1.091160220994475,4
1404,1410,4750803,4750788.5,85,9.0,18,8948.0,97,119,1627,0,1,40,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,Pastry,-0.4444444444444444,0.47368421052631576,22,104.04651162790698,1.0365853658536586,4
1281,1302,4332564,4332815.0,1929,92.0,188,193244.5,33,140,1373,0,1,40,0.1034,0.3902,0.0837,0.0153,0.2283,0.9921,1.0,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,Pastry,0.08333333333333333,0.48677248677248675,107,100.12668393782383,0.22787950383933844,4
49,62,4750803,4750788.5,386,15.0,38,36875.0,51,124,1373,0,1,40,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,Pastry,-0.9629629629629629,0.38461538461538464,73,95.2842377260982,1.7079646017699115,4
830,837,1874382,1874415.0,182,9.0,33,20751.0,99,132,1373,0,1,40,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,Pastry,0.20588235294117646,0.2647058823529412,33,113.39344262295081,2.2195121951219514,4
91,104,2378173,2378236.0,527,19.0,63,48793.0,47,125,1387,0,1,40,0.1312,0.3565,0.2063,0.0094,0.6842,1.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,Pastry,0.203125,0.296875,78,92.41098484848484,1.4558011049723756,4
161,168,2891780,2891804.0,158,9.0,24,16680.0,80,119,1387,0,1,40,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,Pastry,0.28,0.36,39,104.90566037735849,1.9268292682926829,4
1328,1338,2691161,2691189.0,214,10.0,28,19762.0,70,111,1387,0,1,50,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,Pastry,0.3448275862068966,0.3448275862068966,41,91.91627906976744,2.118811881188119,4
1251,1274,3874199,3874261.0,994,29.0,62,68851.0,15,119,1387,0,1,50,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,-0.38760000000000006,0.9994,Pastry,0.36507936507936506,0.4603174603174603,104,69.19698492462311,1.180522565320665,4
733,745,3957796,3957839.0,367,16.0,43,35856.0,55,127,1387,0,1,50,0.9257,0.2888,0.2791,0.0087,0.75,1.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,Pastry,0.2727272727272727,0.36363636363636365,72,97.43478260869566,1.4280155642023347,4
12,24,304433,304472.0,320,15.0,39,32705.0,55,125,1353,0,1,70,0.0177,0.3162,0.3077,0.0089,0.8,1.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,Pastry,0.3,0.375,70,101.88473520249221,1.415929203539823,4
162,172,505964,506035.0,378,34.0,72,43323.0,77,135,1353,0,1,70,0.2395,0.4676,0.1408,0.0074,0.2941,0.9861,1.0,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,Pastry,0.1388888888888889,0.4657534246575342,58,114.30870712401055,0.3267070008643042,4
0,10,1701480,1701528.0,210,36.0,48,17413.0,73,100,1333,0,1,40,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,Pastry,0.20408163265306123,0.7346938775510204,27,82.5260663507109,0.16191210485736315,4
1617,1629,183688,183711.0,201,22.0,23,20993.0,79,126,1633,0,1,140,0.0049,0.2717,0.5217,0.0074,0.5454,1.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,Pastry,0.5,0.9166666666666666,47,103.92574257425743,0.4144329896907217,4
1152,1162,284144,284198.0,386,35.0,54,44712.0,90,132,1687,0,1,140,0.6224,0.2852,0.1852,0.0059,0.2857,1.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,Pastry,0.18181818181818182,0.6363636363636364,42,115.53488372093024,0.31484502446982054,4
1259,1271,1918092,1918128.0,324,30.0,36,30269.0,65,124,1353,0,1,70,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,Pastry,0.32432432432432434,0.8108108108108109,59,93.13538461538461,0.35960044395116536,4
1545,1557,19815,19841.0,234,20.0,26,23207.0,66,124,1627,0,1,40,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,Pastry,0.4444444444444444,0.7407407407407407,58,98.7531914893617,0.5835411471321695,4
1580,1590,3884411,3884461.0,340,30.0,50,34655.0,88,116,1627,0,1,40,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,Pastry,0.19607843137254902,0.5882352941176471,28,101.62756598240469,0.37735849056603776,4
450,458,1009978,1009999.0,98,16.0,21,10784.0,96,132,1690,1,0,60,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,Pastry,0.36363636363636365,0.7272727272727273,36,108.92929292929293,0.38132295719844356,4
1625,1634,1702442,1702491.0,267,43.0,49,22785.0,67,110,1690,1,0,60,0.0663,0.3946,0.1837,0.0053,0.2093,1.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,Pastry,0.18,0.86,43,85.01865671641791,0.14432432432432432,4
1495,1502,3509718,3509731.0,56,12.0,13,5587.0,85,116,1686,1,0,60,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,Pastry,0.5,0.8571428571428571,31,98.01754385964912,0.38620689655172413,4
958,964,3550754,3550771.0,71,11.0,17,7502.0,91,124,1682,1,0,60,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,Pastry,0.3333333333333333,0.6111111111111112,33,104.19444444444444,0.5819672131147541,4
1536,1548,43036,43048.0,90,14.0,12,7525.0,67,100,1688,1,0,60,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,Pastry,0.9230769230769231,1.0769230769230769,33,82.6923076923077,0.45685279187817257,4
780,787,1686880,1686891.0,55,9.0,11,6124.0,95,125,1690,1,0,60,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,Pastry,0.5833333333333334,0.75,30,109.35714285714286,0.6707317073170732,4
1140,1147,2379116,2379129.0,58,9.0,13,6567.0,100,132,1690,1,0,60,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,Pastry,0.5,0.6428571428571429,32,111.30508474576271,0.7073170731707317,4
13,24,2512899,2512965.0,567,47.0,66,46365.0,51,109,1690,1,0,60,0.0154,0.219,0.1667,0.0065,0.234,1.0,1.0,2.7536,1.0414,1.8195,0.8333,-0.3611,0.944,Pastry,0.16417910447761194,0.7014925373134329,58,81.62852112676056,0.25656108597285066,4
11,20,2845229,2845256.0,182,20.0,27,16337.0,72,109,1688,1,0,60,0.013,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,Pastry,0.32142857142857145,0.7142857142857143,37,89.27322404371584,0.4538653366583541,4
1589,1599,3826564,3826588.0,154,20.0,24,13678.0,69,108,1650,1,0,69,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,Pastry,0.4,0.8,39,88.24516129032259,0.38403990024937656,4
765,774,4157586,4157620.0,188,20.0,34,20528.0,95,125,1648,1,0,69,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,Pastry,0.2571428571428571,0.5714285714285714,30,108.6137566137566,0.4688279301745636,4
1268,1277,4750803,4750788.5,146,20.0,27,15572.0,88,126,1646,1,0,69,0.4484,0.3992,0.3333,0.0055,0.45,1.0,1.0,2.1644,0.9542,1.4314,0.6667,-0.1667,0.4025,Pastry,-0.6666666666666666,0.7142857142857143,38,105.93197278911565,0.3640897755610973,4
333,346,4750803,4750788.5,51,14.0,7,6902.0,120,149,1650,1,0,69,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,1.7076,1.1139,0.7782,-0.5385,0.0573,0.1832,Pastry,-0.9629629629629629,1.75,29,132.73076923076923,0.25888324873096447,4
1287,1299,1005865,1005895.0,184,25.0,30,18593.0,85,119,1650,1,0,100,0.4254,0.4889,0.4,0.0073,0.48,1.0,1.0,2.2648,1.0792,1.4771,0.6,-0.2106,0.5951,Pastry,0.3870967741935484,0.8064516129032258,34,100.5027027027027,0.2939297124600639,4
1088,1096,1094617,1094629.0,67,10.0,12,7416.0,94,132,1710,1,0,100,0.7181,0.3021,0.6667,0.0047,0.8,1.0,1.0,1.8261,0.9031,1.0792,0.3333,-0.1353,0.2018,Pastry,0.6153846153846154,0.7692307692307693,38,109.05882352941177,0.6633663366336634,4
1255,1261,718602,718617.0,64,10.0,15,7013.0,99,123,1360,1,0,100,0.1456,0.2889,0.4,0.0044,0.6,1.0,1.0,1.8062,0.7782,1.1761,0.6,-0.1439,0.1954,Pastry,0.375,0.625,24,107.8923076923077,0.6336633663366337,4
707,714,807870,807880.0,53,10.0,10,5039.0,81,111,1360,1,0,100,0.95,0.2429,0.7,0.0052,0.7,1.0,1.0,1.7243,0.8451,1.0,0.3,-0.2572,0.1753,Pastry,0.6363636363636364,0.9090909090909091,30,93.31481481481481,0.5247524752475248,4
1186,1193,238656,238667.0,60,10.0,11,6863.0,100,132,1362,1,0,120,0.2482,0.2208,0.6364,0.0051,0.7,1.0,1.0,1.7781,0.8451,1.0414,0.3636,-0.1064,0.1822,Pastry,0.5833333333333334,0.8333333333333334,32,112.50819672131148,0.594059405940594,4
626,635,2071945,2071956.0,76,14.0,11,8063.0,84,126,1362,1,0,120,0.9192,0.2323,0.8182,0.0066,0.6429,1.0,1.0,1.8808,0.9542,1.0414,0.1818,-0.1712,0.2051,Pastry,0.75,1.1666666666666667,42,104.71428571428571,0.38578680203045684,4
1503,1510,893849,893861.0,66,9.0,12,6625.0,87,118,1632,1,0,100,0.1495,0.2143,0.5833,0.0043,0.7778,1.0,1.0,1.8195,0.8451,1.0792,0.4167,-0.2158,0.1892,Pastry,0.5384615384615384,0.6923076923076923,31,98.88059701492537,0.8048780487804879,4
1152,1161,969900,969911.0,70,9.0,11,7846.0,99,127,1632,1,0,100,0.5772,0.2929,0.8182,0.0055,1.0,1.0,1.0,1.8451,0.9542,1.0414,0.1818,-0.1243,0.2051,Pastry,0.75,0.75,28,110.50704225352112,0.8536585365853658,4
1533,1542,1031539,1031599.0,382,43.0,60,38206.0,77,118,1632,1,0,100,0.1103,0.2926,0.15,0.0055,0.2093,1.0,1.0,2.5821,0.9542,1.7781,0.85,-0.2186,0.8299,Pastry,0.14754098360655737,0.7049180327868853,41,99.75456919060052,0.2064864864864865,4
788,796,1060712,1060732.0,110,13.0,20,11126.0,84,116,1630,1,0,100,0.9669,0.3125,0.4,0.0049,0.6154,1.0,1.0,2.0414,0.9031,1.301,0.6,-0.2098,0.2792,Pastry,0.38095238095238093,0.6190476190476191,32,100.23423423423424,0.6470588235294118,4
34,40,914648,914661.0,51,8.0,13,5369.0,95,116,1654,1,0,100,0.0411,0.3462,0.4615,0.0036,0.75,1.0,1.0,1.7076,0.7782,1.1139,0.5385,-0.1775,0.1832,Pastry,0.42857142857142855,0.5714285714285714,21,103.25,0.7846153846153846,4
1604,1612,1194800,1194814.0,63,15.0,14,5232.0,73,100,1656,1,0,100,0.0531,0.4375,0.5714,0.0048,0.5333,1.0,1.0,1.7993,0.9031,1.1461,0.4286,-0.3512,0.2195,Pastry,0.5333333333333333,1.0,27,81.75,0.27876106194690264,4
1610,1618,1944129,1944138.0,56,12.0,9,4674.0,71,101,1656,1,0,100,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,Pastry,0.8,1.2,30,82.0,0.38620689655172413,4
1617,1628,2095494,2095507.0,89,14.0,13,7804.0,77,100,1658,1,0,100,0.0362,0.3776,0.8461,0.0066,0.7857,1.0,1.0,1.9494,1.0414,1.1139,0.1539,-0.315,0.257,Pastry,0.7857142857142857,1.0,23,86.71111111111111,0.4517766497461929,4
1589,1598,2493647,2493675.0,190,21.0,28,18416.0,81,116,1648,1,0,100,0.0607,0.246,0.3214,0.0055,0.4286,1.0,1.0,2.2787,0.9542,1.4472,0.6786,-0.2428,0.417,Pastry,0.3103448275862069,0.7241379310344828,35,96.41884816753927,0.4298642533936652,4
482,490,4750803,4750788.5,81,15.0,20,8709.0,99,119,1656,1,0,100,0.5821,0.4938,0.4,0.0048,0.5333,1.0,1.0,1.9085,0.9031,1.301,0.6,-0.16,0.2792,Pastry,-0.5925925925925926,0.7142857142857143,20,106.20731707317073,0.3584070796460177,4
1067,1073,237702,237720.0,63,17.0,18,4616.0,58,100,1694,1,0,140,0.7332,0.4167,0.3333,0.0035,0.3529,1.0,1.0,1.7993,0.7782,1.2553,0.6667,-0.38760000000000006,0.215,Pastry,0.3157894736842105,0.8947368421052632,42,72.125,0.21724137931034482,4
623,631,309514,309526.0,60,9.0,12,4585.0,62,100,1694,1,0,140,0.7355,0.375,0.6667,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0792,0.3333,-0.38760000000000006,0.2018,Pastry,0.6153846153846154,0.6923076923076923,38,75.1639344262295,0.7317073170731707,4
446,453,200561,200567.0,30,8.0,6,3022.0,80,116,1692,1,0,140,0.5272,0.2857,0.8571,0.0041,0.875,1.0,0.0,1.4771,0.8451,0.7782,-0.1429,-0.213,0.1499,Pastry,1.0,1.1428571428571428,36,97.48387096774194,0.46153846153846156,4
375,384,519677,519708.0,209,24.0,31,24034.0,90,143,1692,1,0,140,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,Pastry,0.28125,0.75,53,114.44761904761904,0.36221837088388215,4
125,134,1334420,1334443.0,156,20.0,23,18654.0,101,141,1352,1,0,80,0.1849,0.2464,0.3913,0.0067,0.45,1.0,1.0,2.1931,0.9542,1.3617,0.6087,-0.0658,0.3464,Pastry,0.375,0.8333333333333334,40,118.81528662420382,0.38902743142144636,4
124,140,2377039,2377320.0,1929,165.0,188,193244.5,64,140,1400,0,1,40,0.1771,0.4121,0.0569,0.0114,0.097,0.986,1.0,3.4221,1.2041,2.4487,0.9431,-0.1132,1.0,Pastry,0.05673758865248227,0.873015873015873,76,100.12668393782383,0.07085139205171527,4
1321,1339,513812,514011.0,1929,134.0,188,193244.5,16,133,1380,0,1,40,0.0594,0.4012,0.0904,0.013,0.1343,0.9901,1.0,3.3314,1.2553,2.2989,0.9096,-0.166,1.0,Pastry,0.09,0.708994708994709,117,100.12668393782383,0.10742328896809043,4
817,843,66196,66362.0,1421,142.0,185,141034.0,47,126,1666,0,1,40,0.9808,0.6708,0.1566,0.0156,0.1831,0.8973,1.0,3.1526,1.415,2.2201,0.8434,-0.2246,1.0,Pastry,0.15568862275449102,0.7634408602150538,79,99.18002812939521,0.07046863377138607,4
808,816,161967,161984.0,103,13.0,17,11430.0,97,126,1666,0,1,40,0.97,0.2427,0.4706,0.0048,0.6154,1.0,1.0,2.0128,0.9031,1.2305,0.5294,-0.133,0.2482,Pastry,0.4444444444444444,0.7222222222222222,29,109.90384615384616,0.6058823529411764,4
1327,1335,126951,126958.0,40,11.0,7,4014.0,89,111,1364,0,1,60,0.0425,0.2857,0.875,0.0059,0.7273,1.0,0.0,1.6021,0.9031,0.8451,-0.125,-0.216,0.1622,Pastry,1.0,1.375,22,97.90243902439025,0.32786885245901637,4
64,95,417618,418215.0,1929,187.5,188,193244.5,21,141,1362,0,1,60,0.094,0.4103,0.0519,0.0228,0.0645,0.9884,1.0,4.038,1.4914,2.776,0.9481,-0.2153,1.0,Pastry,0.051839464882943144,0.9920634920634921,120,100.12668393782383,0.0548677726500224,4
57,69,33796,33812.0,135,18.0,16,10915.0,55,100,1360,0,1,140,0.0838,0.2969,0.75,0.0088,0.6667,1.0,1.0,2.1303,1.0792,1.2041,0.25,-0.3683,0.3241,Pastry,0.7058823529411765,1.0588235294117647,45,80.25735294117646,0.4153846153846154,4
921,930,638468,638484.0,114,14.0,17,13173.0,94,140,1392,0,1,140,0.6638,0.2083,0.5625,0.0065,0.6429,0.9412,1.0,2.0569,0.9542,1.2041,0.4375,-0.0972,0.2583,Pastry,0.5294117647058824,0.7777777777777778,46,114.54782608695652,0.5786802030456852,4
830,837,837868,837888.0,82,13.0,20,9671.0,106,128,1392,0,1,140,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,Pastry,0.3333333333333333,0.6190476190476191,22,116.51807228915662,0.4823529411764706,4
1201,1213,3496093,3496125.0,275,19.0,32,28986.0,78,127,1362,0,1,40,0.2188,0.2839,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.1765,0.633,Pastry,0.36363636363636365,0.5757575757575758,49,105.02173913043478,0.7596685082872928,4
1227,1238,3980733,3980769.0,289,25.0,36,32134.0,92,132,1364,0,1,40,0.1848,0.2702,0.3056,0.0081,0.44,1.0,1.0,2.4609,1.0414,1.5563,0.6944,-0.1313,0.6514,Pastry,0.2972972972972973,0.6756756756756757,40,110.80689655172414,0.46166134185303515,4
959,974,4178002,4178041.0,313,36.0,39,35005.0,68,135,1364,0,1,40,0.5719,0.465,0.3846,0.011,0.4167,1.0,1.0,2.4955,1.1761,1.5911,0.6154,-0.1263,0.8682,Pastry,0.375,0.9,67,111.48089171974522,0.2413261372397841,4
320,333,4383724,4383776.0,437,36.0,52,44883.0,63,132,1364,0,1,40,0.4692,0.3535,0.25,0.0095,0.3611,1.0,1.0,2.6405,1.1139,1.716,0.75,-0.1976,0.9236,Pastry,0.24528301886792453,0.6792452830188679,69,102.47260273972603,0.3369313801079414,4
34,51,132507,132576.0,759,45.0,69,67978.0,44,124,1362,0,1,40,0.0499,0.3529,0.2464,0.0125,0.3778,1.0,1.0,2.8802,1.2305,1.8389,0.7536,-0.3003,0.997,Pastry,0.24285714285714285,0.6428571428571429,80,89.44473684210526,0.37462981243830207,4
159,172,273320,273387.0,677,44.0,67,67597.0,72,124,1360,0,1,40,0.2338,0.2227,0.194,0.0096,0.2955,1.0,1.0,2.8306,1.1139,1.8261,0.806,-0.2199,0.9779,Pastry,0.19117647058823528,0.6470588235294118,52,99.70058997050147,0.3495095508518327,4
